sample_fp	plate	cycle	well	tile	channel
/mnt/data/uluru/input_sbs/plate_1/c1/A1_5_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	5	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_5_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	5	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_5_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	5	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_5_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	5	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_5_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	5	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_6_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	6	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_6_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	6	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_6_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	6	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_6_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	6	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_6_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	6	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_7_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	7	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_7_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	7	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_7_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	7	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_7_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	7	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_7_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	7	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_8_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	8	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_8_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	8	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_8_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	8	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_8_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	8	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_8_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	8	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_9_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	9	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_9_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	9	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_9_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	9	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_9_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	9	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_9_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	9	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_10_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	10	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_10_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	10	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_10_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	10	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_10_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	10	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_10_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	10	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_11_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	11	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_11_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	11	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_11_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	11	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_11_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	11	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_11_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	11	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_12_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	12	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_12_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	12	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_12_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	12	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_12_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	12	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_12_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	12	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_13_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	13	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_13_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	13	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_13_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	13	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_13_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	13	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_13_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	13	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_14_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	14	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_14_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	14	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_14_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	14	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_14_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	14	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_14_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	14	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_15_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	15	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_15_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	15	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_15_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	15	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_15_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	15	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_15_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	15	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_16_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	16	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_16_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	16	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_16_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	16	561_nm_Ex_-_2
