plate	cycle	well	tile	channel
1	1	A1	30	405_nm_Ex
1	1	A1	30	561_nm_Ex_-_1
1	1	A1	30	561_nm_Ex_-_2
1	1	A1	30	638_nm_Ex_-_1
1	1	A1	30	638_nm_Ex_-_2
1	1	A1	31	405_nm_Ex
1	1	A1	31	561_nm_Ex_-_1
1	1	A1	31	561_nm_Ex_-_2
1	1	A1	31	638_nm_Ex_-_1
1	1	A1	31	638_nm_Ex_-_2
1	1	A1	32	405_nm_Ex
1	1	A1	32	561_nm_Ex_-_1
1	1	A1	32	561_nm_Ex_-_2
1	1	A1	32	638_nm_Ex_-_1
1	1	A1	32	638_nm_Ex_-_2
1	1	A1	33	405_nm_Ex
1	1	A1	33	561_nm_Ex_-_1
1	1	A1	33	561_nm_Ex_-_2
1	1	A1	33	638_nm_Ex_-_1
1	1	A1	33	638_nm_Ex_-_2
1	1	A1	34	405_nm_Ex
1	1	A1	34	561_nm_Ex_-_1
1	1	A1	34	561_nm_Ex_-_2
1	1	A1	34	638_nm_Ex_-_1
1	1	A1	34	638_nm_Ex_-_2
1	1	A1	35	405_nm_Ex
1	1	A1	35	561_nm_Ex_-_1
1	1	A1	35	561_nm_Ex_-_2
1	1	A1	35	638_nm_Ex_-_1
1	1	A1	35	638_nm_Ex_-_2
1	1	A1	36	405_nm_Ex
1	1	A1	36	561_nm_Ex_-_1
1	1	A1	36	561_nm_Ex_-_2
1	1	A1	36	638_nm_Ex_-_1
1	1	A1	36	638_nm_Ex_-_2
1	1	A1	37	405_nm_Ex
1	1	A1	37	561_nm_Ex_-_1
1	1	A1	37	561_nm_Ex_-_2
1	1	A1	37	638_nm_Ex_-_1
1	1	A1	37	638_nm_Ex_-_2
1	1	A1	38	405_nm_Ex
1	1	A1	38	561_nm_Ex_-_1
1	1	A1	38	561_nm_Ex_-_2
1	1	A1	38	638_nm_Ex_-_1
1	1	A1	38	638_nm_Ex_-_2
1	1	A1	39	405_nm_Ex
1	1	A1	39	561_nm_Ex_-_1
1	1	A1	39	561_nm_Ex_-_2
1	1	A1	39	638_nm_Ex_-_1
1	1	A1	39	638_nm_Ex_-_2
1	1	A1	40	405_nm_Ex
1	1	A1	40	561_nm_Ex_-_1
1	1	A1	40	561_nm_Ex_-_2
1	1	A1	40	638_nm_Ex_-_1
1	1	A1	40	638_nm_Ex_-_2
1	1	A1	41	405_nm_Ex
1	1	A1	41	561_nm_Ex_-_1
1	1	A1	41	561_nm_Ex_-_2
1	1	A1	41	638_nm_Ex_-_1
1	1	A1	41	638_nm_Ex_-_2
1	1	A1	42	405_nm_Ex
1	1	A1	42	561_nm_Ex_-_1
1	1	A1	42	561_nm_Ex_-_2
1	1	A1	42	638_nm_Ex_-_1
1	1	A1	42	638_nm_Ex_-_2
1	1	A1	43	405_nm_Ex
1	1	A1	43	561_nm_Ex_-_1
1	1	A1	43	561_nm_Ex_-_2
1	1	A1	43	638_nm_Ex_-_1
1	1	A1	43	638_nm_Ex_-_2
1	1	A1	44	405_nm_Ex
1	1	A1	44	561_nm_Ex_-_1
1	1	A1	44	561_nm_Ex_-_2
1	1	A1	44	638_nm_Ex_-_1
1	1	A1	44	638_nm_Ex_-_2
1	1	A1	45	405_nm_Ex
1	1	A1	45	561_nm_Ex_-_1
1	1	A1	45	561_nm_Ex_-_2
1	1	A1	45	638_nm_Ex_-_1
1	1	A1	45	638_nm_Ex_-_2
1	1	A1	46	405_nm_Ex
1	1	A1	46	561_nm_Ex_-_1
1	1	A1	46	561_nm_Ex_-_2
1	1	A1	46	638_nm_Ex_-_1
1	1	A1	46	638_nm_Ex_-_2
1	1	A1	47	405_nm_Ex
1	1	A1	47	561_nm_Ex_-_1
1	1	A1	47	561_nm_Ex_-_2
1	1	A1	47	638_nm_Ex_-_1
1	1	A1	47	638_nm_Ex_-_2
1	1	A1	48	405_nm_Ex
1	1	A1	48	561_nm_Ex_-_1
1	1	A1	48	561_nm_Ex_-_2
1	1	A1	48	638_nm_Ex_-_1
1	1	A1	48	638_nm_Ex_-_2
1	1	A1	49	405_nm_Ex
1	1	A1	49	561_nm_Ex_-_1
1	1	A1	49	561_nm_Ex_-_2
1	1	A1	49	638_nm_Ex_-_1
1	1	A1	49	638_nm_Ex_-_2
1	1	A1	50	405_nm_Ex
1	1	A1	50	561_nm_Ex_-_1
1	1	A1	50	561_nm_Ex_-_2
1	1	A1	50	638_nm_Ex_-_1
1	1	A1	50	638_nm_Ex_-_2
1	1	A1	51	405_nm_Ex
1	1	A1	51	561_nm_Ex_-_1
1	1	A1	51	561_nm_Ex_-_2
1	1	A1	51	638_nm_Ex_-_1
1	1	A1	51	638_nm_Ex_-_2
1	1	A1	52	405_nm_Ex
1	1	A1	52	561_nm_Ex_-_1
1	1	A1	52	561_nm_Ex_-_2
1	1	A1	52	638_nm_Ex_-_1
1	1	A1	52	638_nm_Ex_-_2
1	1	A1	53	405_nm_Ex
1	1	A1	53	561_nm_Ex_-_1
1	1	A1	53	561_nm_Ex_-_2
1	1	A1	53	638_nm_Ex_-_1
1	1	A1	53	638_nm_Ex_-_2
1	1	A1	54	405_nm_Ex
1	1	A1	54	561_nm_Ex_-_1
1	1	A1	54	561_nm_Ex_-_2
1	1	A1	54	638_nm_Ex_-_1
1	1	A1	54	638_nm_Ex_-_2
1	1	A1	55	405_nm_Ex
1	1	A1	55	561_nm_Ex_-_1
